season,episode,title,description,rating
1,1,The One Where Monica Gets a Roommate,"    Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.    ",8.3
1,2,The One with the Sonogram at the End,    Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.    ,8
1,3,The One with the Thumb,    Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.    ,8.2
1,4,The One with George Stephanopoulos,"    Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.    ",8.1
1,5,The One with the East German Laundry Detergent,"    Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.    ",8.5
1,6,The One with the Butt,    Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.    ,8.1
1,7,The One with the Blackout,"    When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.    ",9
1,8,The One Where Nana Dies Twice,    Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.    ,8.1
1,9,The One Where Underdog Gets Away,    The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.    ,8.2
1,10,The One with the Monkey,    The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.    ,8.1
1,11,The One with Mrs. Bing,"    Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.    ",8.2
1,12,The One with the Dozen Lasagnas,    Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.    ,8.2
1,13,The One with the Boobies,    Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.    ,8.7
1,14,The One with the Candy Hearts,"    As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.    ",8.3
1,15,The One with the Stoned Guy,"    Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.    ",8.2
1,16,The One with Two Parts: Part 1,    Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.    ,8.1
1,17,The One with Two Parts: Part 2,"    Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.    ",8.5
1,18,The One with All the Poker,"    As Rachel interviews for a new job, the girls take on the guys in a game of poker.    ",8.8
1,19,The One Where the Monkey Gets Away,    The gang frantically search for Ross's monkey Marcel after Rachel loses him.    ,8.1
1,20,The One with the Evil Orthodontist,"    Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.    ",7.9
1,21,The One with the Fake Monica,    Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.    ,7.9
1,22,The One with the Ick Factor,    Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.    ,8.3
1,23,The One with the Birth,"    As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.    ",8.7
1,24,The One Where Rachel Finds Out,"    As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.    ",8.9
2,1,The One with Ross's New Girlfriend,"    Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.    ",8.5
2,2,The One with the Breast Milk,"    Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.    ",8.2
2,3,The One Where Heckles Dies,"    Mr. Heckles dies and leaves all his possessions to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Rachel and Monica argue over a lamp, Phoebe and Ross argue over evolution.    ",8.4
2,4,The One with Phoebe's Husband,"    When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.    ",8
2,5,The One with Five Steaks and an Eggplant,"    The gang are divided by income issues; Monica, Ross and Chandler make more money, while Rachel, Phoebe, and Joey don't. Chandler also uses a case of mistaken identity to his advantage.    ",8.3
2,6,The One with the Baby on the Bus,"    Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.    ",8.6
2,7,The One Where Ross Finds Out,"    A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.    ",9
2,8,The One with the List,"    With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.    ",8.5
2,9,The One with Phoebe's Dad,"    Phoebe tracks down her father, but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him.    ",8
2,10,The One with Russ,    Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.    ,8
2,11,The One with the Lesbian Wedding,    Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.    ,8.1
2,12,The One After the Superbowl: Part 1,    Ross goes to visit Marcel whilst on a trip to California and discovers he is working in commercials. Joey receives a fan letter from an attractive but unstable woman. Phoebe is asked to sing for children at a library.    ,8.6
2,13,The One After the Superbowl: Part 2,"    Ross finds Marcel on the set of a new movie, where Chandler bumps into a former schoolmate. Meanwhile, Rachel and Monica compete for the affections of Jean-Claude Van Damme.    ",8.8
2,14,The One with the Prom Video,    The gang watches a home video from the night of Monica and Rachel's prom. Joey gives Chandler a hideous bracelet.    ,9.4
2,15,The One Where Ross and Rachel... You Know,    Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.    ,8.9
2,16,The One Where Joey Moves Out,    Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.    ,8.6
2,17,The One Where Eddie Moves In,"    Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment.    ",8.3
2,18,The One Where Dr. Ramoray Dies,"    Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica.    ",8.5
2,19,The One Where Eddie Won't Go,"    Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want.    ",8.5
2,20,The One Where Old Yeller Dies,    Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.    ,8.2
2,21,The One with the Bullies,    Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.    ,8.2
2,22,The One with the Two Parties,"    Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting.    ",9
2,23,The One with the Chicken Pox,    Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.    ,8.1
2,24,The One with Barry and Mindy's Wedding,    Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.    ,8.2
3,1,The One with the Princess Leia Fantasy,    Monica suffers from insomnia and depression following her breakup with Richard. Joey struggles to accept Chandler and Janice's relationship. Ross confides in Rachel about one of his fantasies.    ,8.4
3,2,The One Where No One's Ready,"    A stressed Ross desperately and insistently tries to get the rest of the gang ready for a black tie event at the museum, while Joey and Chandler clash over personal belongings and personal space.    ",9
3,3,The One with the Jam,    Monica tries to get over Richard by using her free time to make jam and considers artificial insemination through a sperm bank. Phoebe is stalked by a man who mistakes her for Ursula.    ,8.1
3,4,The One with the Metaphorical Tunnel,    Chandler tries to get over his fear of commitment. Phoebe poses as Joey's agent after she forgets to tell him about an audition. Ross panics after seeing Ben play with a Barbie doll and tries to convince him to play with more manly toys.    ,8.1
3,5,The One with Frank Jr.,    Phoebe has trouble bonding with her half-brother Frank when he comes to visit. Joey attempts to build an entertainment center. Ross is challenged to name the five celebrities he'd like to sleep with most.    ,8.1
3,6,The One with the Flashback,"    The gang remember the events three years ago, when several of them almost slept together.    ",9.1
3,7,The One with the Race Car Bed,"    Joey becomes a learning extension teacher in soap acting, and loves the respect from even more clueless kids. Monica chooses a ridiculously cheap bed from Janice's ex; Phoebe signs for her at delivery- of another bed, a childish race car! Rachel convinces Ross to dine with her dad, who takes him down even worse then he feared; the next day Ross and Dr. Green find each-other making fun about Rachel's chiropractor and various lack of good sense. When Joey hears one of his students also auditions for the same role he wants, he tries to eliminate him by bad advice to play...    ",8.3
3,8,The One with the Giant Poking Device,    Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.    ,8.4
3,9,The One with the Football,"    Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football.    ",9
3,10,The One Where Rachel Quits,    Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.    ,8.1
3,11,The One Where Chandler Can't Remember Which Sister,    A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.    ,8.6
3,12,The One with All the Jealousy,"    Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.    ",8.2
3,13,The One Where Monica and Richard Are Just Friends,"    Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction"".    ",8.2
3,14,The One with Phoebe's Ex-Partner,"    Phoebe is reunited with her former singing partner who thinks ""Smelly Cat"" has hit potential; Chandler dates a woman with a prosthetic leg.    ",7.8
3,15,The One Where Ross and Rachel Take a Break,    Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.    ,8.5
3,16,The One with the Morning After,"    Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.    ",9.1
3,17,The One Without the Ski Trip,"    Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.    ",8.3
3,18,The One with the Hypnosis Tape,    Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Frank makes a surprise announcement that he is getting married - to a woman twice his age.    ,8.4
3,19,The One with the Tiny T-Shirt,"    Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him.    ",8.2
3,20,The One with the Dollhouse,"    Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna.    ",8.1
3,21,The One with the Chick and the Duck,"    Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.    ",8.7
3,22,The One with the Screamer,"    Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company.    ",8.2
3,23,The One with Ross's Thing,    Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.    ,8.1
3,24,The One with the Ultimate Fighting Champion,    Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.    ,8.1
3,25,The One at the Beach,"    While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie.    ",8.8
4,1,The One with the Jellyfish,"    Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach.    ",9.1
4,2,The One with the Cat,    Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.    ,8.1
4,3,The One with the 'Cuffs,    Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.    ,8.5
4,4,The One with the Ballroom Dancing,    Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.    ,8.2
4,5,The One with Joey's New Girlfriend,    Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.    ,8.4
4,6,The One with the Dirty Girl,    Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.    ,8.5
4,7,The One Where Chandler Crosses the Line,    Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.    ,8.7
4,8,The One with Chandler in a Box,    Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.    ,9.1
4,9,The One Where They're Going to Party!,    Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.    ,7.9
4,10,The One with the Girl from Poughkeepsie,"    In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.    ",8.1
4,11,The One with Phoebe's Uterus,    Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.    ,8.5
4,12,The One with the Embryos,"    Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.    ",9.5
4,13,The One with Rachel's Crush,"    After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.    ",8.2
4,14,The One with Joey's Dirty Day,"    Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.    ",8.2
4,15,The One with All the Rugby,"    Chandler runs into Janice, and finds her more irritating than ever and creates an elaborate plan to break up with her, meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric lighting switch.    ",8.5
4,16,The One with the Fake Party,    Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.    ,8.2
4,17,The One with the Free Porn,    Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.    ,8.6
4,18,The One with Rachel's New Dress,    Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.    ,8.3
4,19,The One with All the Haste,    Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.    ,8.7
4,20,The One with All the Wedding Dresses,"    Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.    ",8.5
4,21,The One with the Invitation,"    As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.    ",7.2
4,22,The One with the Worst Best Man Ever,"    at first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.    ",8.5
4,23,The One with Ross's Wedding,"    Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding, while someone else unexpectedly shows up to the wedding.    ",8.7
4,24,The One with Ross's Wedding: Part 2,    Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.    ,9.2
5,1,The One After Ross Says Rachel,"    A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.    ",8.9
5,2,The One with All the Kissing,    Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.    ,9
5,3,The One Hundredth,"    The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.    ",8.8
5,4,The One Where Phoebe Hates PBS,    Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.    ,8.3
5,5,The One with the Kips,    Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.    ,8.8
5,6,The One with the Yeti,    The gang become frustrated with Emily's demands to Ross. Monica and Rachel mistake their new neighbor for a yeti. Phoebe receives a fur coat as a family heirloom from her mother.    ,8
5,7,The One Where Ross Moves In,    Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.    ,8.4
5,8,The One with All the Thanksgivings,    The gang remember and share with each other their worst Thanksgivings.    ,9.2
5,9,The One with Ross's Sandwich,    Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.    ,9.1
5,10,The One with the Inappropriate Sister,    A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.    ,8.2
5,11,The One with All the Resolutions,    The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.    ,9.1
5,12,The One with Chandler's Work Laugh,    Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.    ,8.3
5,13,The One with Joey's Bag,"    Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.    ",8.1
5,14,The One Where Everybody Finds Out,"    When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.    ",9.7
5,15,The One with the Girl Who Hits Joey,    Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.    ,8.5
5,16,The One with the Cop,"    Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.    ",8.6
5,17,The One with Rachel's Inadvertent Kiss,    Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.    ,8.5
5,18,The One Where Rachel Smokes,"    Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.    ",8
5,19,The One Where Ross Can't Flirt,"    As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.    ",8.7
5,20,The One with the Ride Along,    The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.    ,8.3
5,21,The One with the Ball,"    Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom, Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.    ",8.5
5,22,The One with Joey's Big Break,"    Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.    ",8.3
5,23,The One in Vegas: Part 1,    The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.    ,8.8
5,24,The One in Vegas: Part 2,    Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.    ,9.1
6,1,The One After Vegas,    Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.    ,8.7
6,2,The One Where Ross Hugs Rachel,    Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.    ,8.2
6,3,The One with Ross's Denial,    Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.    ,8.2
6,4,The One Where Joey Loses His Insurance,"    Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.    ",8.5
6,5,The One with Joey's Porsche,"    Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.    ",8.2
